scheme,k_over_m,vertical_wavelength_m,PPWz,dz_m,relative_frequency_error_pct,observed_order_last_four_resolutions
"Non-staggered, second order",0.5,2000.0,4.0,500.0,38.11472438541154,2.042940297599393
"Non-staggered, second order",0.5,2000.0,5.0,400.0,23.25693833940765,2.042940297599393
"Non-staggered, second order",0.5,2000.0,6.0,333.3333333333333,15.691282627427515,2.042940297599393
"Non-staggered, second order",0.5,2000.0,8.0,250.0,8.563902440404211,2.042940297599393
"Non-staggered, second order",0.5,2000.0,10.0,200.0,5.402687781059876,2.042940297599393
"Non-staggered, second order",0.5,2000.0,12.0,166.66666666666666,3.722357092085043,2.042940297599393
"Non-staggered, second order",0.5,2000.0,16.0,125.0,2.0773341672334427,2.042940297599393
"Non-staggered, fourth order",0.5,2000.0,4.0,500.0,13.489543882711002,3.9323830533024258
"Non-staggered, fourth order",0.5,2000.0,5.0,400.0,5.784598111747861,3.9323830533024258
"Non-staggered, fourth order",0.5,2000.0,6.0,333.3333333333333,2.884649620780618,3.9323830533024258
"Non-staggered, fourth order",0.5,2000.0,8.0,250.0,0.9506168746516138,3.9323830533024258
"Non-staggered, fourth order",0.5,2000.0,10.0,200.0,0.3979021595533139,3.9323830533024258
"Non-staggered, fourth order",0.5,2000.0,12.0,166.66666666666666,0.19432198337602924,3.9323830533024258
"Non-staggered, fourth order",0.5,2000.0,16.0,125.0,0.062297471016199736,3.9323830533024258
"Compact Pade, fourth order",0.5,2000.0,4.0,500.0,3.722357092085026,4.08024344407064
"Compact Pade, fourth order",0.5,2000.0,5.0,400.0,1.3509244738728408,4.08024344407064
"Compact Pade, fourth order",0.5,2000.0,6.0,333.3333333333333,0.6118945514083401,4.08024344407064
"Compact Pade, fourth order",0.5,2000.0,8.0,250.0,0.1822654512700992,4.08024344407064
"Compact Pade, fourth order",0.5,2000.0,10.0,200.0,0.07264500490714013,4.08024344407064
"Compact Pade, fourth order",0.5,2000.0,12.0,166.66666666666666,0.034523116363091265,4.08024344407064
"Compact Pade, fourth order",0.5,2000.0,16.0,125.0,0.010766363220754457,4.08024344407064
"Staggered Lorenz, second order",0.5,2000.0,4.0,500.0,8.563902440404211,2.0109150719958526
"Staggered Lorenz, second order",0.5,2000.0,5.0,400.0,5.402687781059876,2.0109150719958526
"Staggered Lorenz, second order",0.5,2000.0,6.0,333.3333333333333,3.722357092085043,2.0109150719958526
"Staggered Lorenz, second order",0.5,2000.0,8.0,250.0,2.0773341672334427,2.0109150719958526
"Staggered Lorenz, second order",0.5,2000.0,10.0,200.0,1.3246133807147233,2.0109150719958526
"Staggered Lorenz, second order",0.5,2000.0,12.0,166.66666666666666,0.9180304764317568,2.0109150719958526
"Staggered Lorenz, second order",0.5,2000.0,16.0,125.0,0.5153635625602545,2.0109150719958526
"Non-staggered, second order",2.0,2000.0,4.0,500.0,6.536398219670961,1.942991467472436
"Non-staggered, second order",2.0,2000.0,5.0,400.0,4.566971568982783,1.942991467472436
"Non-staggered, second order",2.0,2000.0,6.0,333.3333333333333,3.3190396967720157,1.942991467472436
"Non-staggered, second order",2.0,2000.0,8.0,250.0,1.9498889004163091,1.942991467472436
"Non-staggered, second order",2.0,2000.0,10.0,200.0,1.2724804716359106,1.942991467472436
"Non-staggered, second order",2.0,2000.0,12.0,166.66666666666666,0.892912040905249,1.942991467472436
"Non-staggered, second order",2.0,2000.0,16.0,125.0,0.5074241885795046,1.942991467472436
"Non-staggered, fourth order",2.0,2000.0,4.0,500.0,2.9178526520313426,3.918487264281781
"Non-staggered, fourth order",2.0,2000.0,5.0,400.0,1.3568154046617886,3.918487264281781
