chi,U_m_s,PPWz,esquema,regime_analitico,k_m-1,m_m-1,k_sobre_m,lambda_z_m,dz_m,omega_intrinseca_analitica_s-1,omega_intrinseca_numerica_s-1,omega_observada_analitica_s-1,omega_observada_numerica_s-1,erro_rel_intrinseca_pct,residuo_omega_observada_sobre_N_pct
0.75,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.009100812801858612,0.0,-0.00010081280185861123,1.120142242873458,0.8401066821550935
0.85,15.0,4,"Nao-alternada, 2a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.011162607195635804,0.0,-0.0009626071956358034,9.437325447409837,8.021726630298362
0.85,15.0,4,"Nao-alternada, 4a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.010620158484999257,0.0,-0.00042015848499925637,4.119200833326043,3.5013207083271367
0.85,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.01032703102307434,0.0,-0.00012703102307433899,1.2454021870033234,1.058591858952825
0.85,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.010479146493774136,0.0,-0.0002791464937741354,2.736730331118974,2.326220781451128
0.85,15.0,6,"Nao-alternada, 2a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.010679093058516626,0.0,-0.00047909305851662545,4.696990769770838,3.9924421543052118
0.85,15.0,6,"Nao-alternada, 4a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.01029923998494745,0.0,-9.923998494744922e-05,0.972941028896561,0.8269998745620769
0.85,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.01022152040991922,0.0,-2.1520409919218927e-05,0.21098441097273457,0.1793367493268244
0.85,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.01032703102307434,0.0,-0.00012703102307433899,1.2454021870033234,1.058591858952825
0.85,15.0,8,"Nao-alternada, 2a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.010479146493774136,0.0,-0.0002791464937741354,2.736730331118974,2.326220781451128
0.85,15.0,8,"Nao-alternada, 4a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.010233323013910734,0.0,-3.332301391073371e-05,0.32669621481111477,0.2776917825894476
0.85,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.01020643728018579,0.0,-6.4372801857892625e-06,0.06311059005675747,0.05364400154824386
0.85,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.010272026071808032,0.0,-7.202607180803108e-05,0.7061379589022655,0.6002172650669257
0.9,15.0,4,"Nao-alternada, 2a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.011467293862815892,0.0,-0.000667293862815891,6.178646877924916,5.560782190132425
0.9,15.0,4,"Nao-alternada, 4a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.011098711792102109,0.0,-0.000298711792102108,2.76584992687137,2.489264934184233
0.9,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.010891551287100447,0.0,-9.155128710044633e-05,0.8476971027819105,0.7629273925037193
0.9,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.010999764612106161,0.0,-0.00019976461210616074,1.8496723343163028,1.664705100884673
0.9,15.0,6,"Nao-alternada, 2a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.011139678807756289,0.0,-0.00033967880775628845,3.1451741458915596,2.8306567313024034
0.9,15.0,6,"Nao-alternada, 4a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.010871614594069186,0.0,-7.161459406918556e-05,0.6630980932331996,0.5967882839098797
0.9,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.010815585879502475,0.0,-1.5585879502474573e-05,0.14431369909698677,0.1298823291872881
0.9,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.010891551287100447,0.0,-9.155128710044633e-05,0.8476971027819105,0.7629273925037193
0.9,15.0,8,"Nao-alternada, 2a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010999764612106161,0.0,-0.00019976461210616074,1.8496723343163028,1.664705100884673
0.9,15.0,8,"Nao-alternada, 4a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010824120555761372,0.0,-2.412055576137169e-05,0.22333847927196007,0.2010046313447641
0.9,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010804665379436957,0.0,-4.665379436956732e-06,0.043197957749599364,0.03887816197463943
0.9,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010852041883609718,0.0,-5.204188360971758e-05,0.48186929268257017,0.43368236341431315
0.95,15.0,4,"Nao-alternada, 2a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011745618260273023,0.0,-0.00034561826027302255,3.031739125201952,2.880152168941854
0.95,15.0,4,"Nao-alternada, 4a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011558577141365331,0.0,-0.00015857714136533092,1.3910275558362362,1.3214761780444244
0.95,15.0,4,"Compacto (Pade), 4a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011449284538104544,0.0,-4.9284538104543696e-05,0.4323205096889797,0.4107044842045308
0.95,15.0,4,"Alternada (Lorenz), 2a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011506757126057253,0.0,-0.00010675712605725217,0.9364660180460717,0.889642717143768
0.95,15.0,6,"Nao-alternada, 2a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.01157982991785834,0.0,-0.00017982991785833909,1.5774554198099917,1.4985826488194922
0.95,15.0,6,"Nao-alternada, 4a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.011438603992052532,0.0,-3.860399205253204e-05,0.33863150923273716,0.3216999337711003
0.95,15.0,6,"Compacto (Pade), 4a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.01140843346039498,0.0,-8.433460394979483e-06,0.07397772276297793,0.07027883662482902
0.95,15.0,6,"Alternada (Lorenz), 2a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.011449284538104544,0.0,-4.9284538104543696e-05,0.4323205096889797,0.4107044842045308
0.95,15.0,8,"Nao-alternada, 2a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.011506757126057253,0.0,-0.00010675712605725217,0.9364660180460717,0.889642717143768
0.95,15.0,8,"Nao-alternada, 4a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.011413044014814987,0.0,-1.3044014814986293e-05,0.11442118258759906,0.10870012345821911
0.95,15.0,8,"Compacto (Pade), 4a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.011402526283503257,0.0,-2.5262835032565517e-06,0.022160381607513612,0.02105236252713793
0.95,15.0,8,"Alternada (Lorenz), 2a ordem",propagante,0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.01142809038603652,0.0,-2.809038603652017e-05,0.24640689505719449,0.23408655030433476
