chi,wind_m_s,PPWz,scheme,k_m-1,m_m-1,k_over_m,vertical_wavelength_m,dz_m,analytical_intrinsic_frequency_s-1,numerical_intrinsic_frequency_s-1,relative_intrinsic_frequency_error_pct,stationarity_residual_over_N_pct
0.75,15.0,8,"Staggered Lorenz, second order",0.0006000000000000001,0.0005291502622129182,1.1338934190276817,11874.104117237257,1484.2630146546571,0.009000000000000001,0.009100812801858612,1.120142242873458,0.8401066821550935
0.85,15.0,4,"Non-staggered, second order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.011162607195635804,9.437325447409837,8.021726630298362
0.85,15.0,4,"Non-staggered, fourth order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.010620158484999257,4.119200833326042,3.5013207083271363
0.85,15.0,4,"Compact Pade, fourth order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.01032703102307434,1.2454021870033234,1.058591858952825
0.85,15.0,4,"Staggered Lorenz, second order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,3727.3347331900777,0.0102,0.010479146493774136,2.736730331118974,2.326220781451128
0.85,15.0,6,"Non-staggered, second order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.010679093058516626,4.696990769770838,3.992442154305212
0.85,15.0,6,"Non-staggered, fourth order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.01029923998494745,0.9729410288965609,0.8269998745620768
0.85,15.0,6,"Compact Pade, fourth order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.01022152040991922,0.21098441097273457,0.1793367493268244
0.85,15.0,6,"Staggered Lorenz, second order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,2484.8898221267186,0.0102,0.01032703102307434,1.2454021870033234,1.058591858952825
0.85,15.0,8,"Non-staggered, second order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.010479146493774136,2.736730331118974,2.326220781451128
0.85,15.0,8,"Non-staggered, fourth order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.010233323013910734,0.32669621481111477,0.27769178258944754
0.85,15.0,8,"Compact Pade, fourth order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.01020643728018579,0.06311059005675747,0.05364400154824386
0.85,15.0,8,"Staggered Lorenz, second order",0.00068,0.00042142615011410965,1.613568592779248,14909.33893276031,1863.6673665950389,0.0102,0.010272026071808032,0.7061379589022655,0.6002172650669256
0.9,15.0,4,"Non-staggered, second order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.011467293862815892,6.178646877924916,5.560782190132425
0.9,15.0,4,"Non-staggered, fourth order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.011098711792102109,2.76584992687137,2.489264934184233
0.9,15.0,4,"Compact Pade, fourth order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.010891551287100447,0.8476971027819103,0.7629273925037193
0.9,15.0,4,"Staggered Lorenz, second order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,4504.567400910425,0.0108,0.010999764612106161,1.849672334316303,1.6647051008846727
0.9,15.0,6,"Non-staggered, second order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.011139678807756289,3.1451741458915596,2.830656731302404
0.9,15.0,6,"Non-staggered, fourth order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.010871614594069186,0.6630980932331997,0.5967882839098797
0.9,15.0,6,"Compact Pade, fourth order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.010815585879502475,0.14431369909698677,0.1298823291872881
0.9,15.0,6,"Staggered Lorenz, second order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,3003.0449339402835,0.0108,0.010891551287100447,0.8476971027819103,0.7629273925037193
0.9,15.0,8,"Non-staggered, second order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010999764612106161,1.849672334316303,1.6647051008846727
0.9,15.0,8,"Non-staggered, fourth order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010824120555761372,0.22333847927196007,0.20100463134476407
0.9,15.0,8,"Compact Pade, fourth order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010804665379436957,0.04319795774959937,0.03887816197463943
0.9,15.0,8,"Staggered Lorenz, second order",0.00072,0.00034871191548325385,2.0647416048350564,18018.2696036417,2252.2837004552125,0.0108,0.010852041883609718,0.48186929268257017,0.43368236341431315
0.95,15.0,4,"Non-staggered, second order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011745618260273023,3.031739125201952,2.8801521689418546
0.95,15.0,4,"Non-staggered, fourth order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011558577141365331,1.3910275558362362,1.3214761780444244
0.95,15.0,4,"Compact Pade, fourth order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011449284538104544,0.4323205096889798,0.4107044842045308
0.95,15.0,4,"Staggered Lorenz, second order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,6288.217895336976,0.0114,0.011506757126057253,0.9364660180460717,0.8896427171437681
0.95,15.0,6,"Non-staggered, second order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.01157982991785834,1.577455419809992,1.4985826488194924
0.95,15.0,6,"Non-staggered, fourth order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.011438603992052532,0.33863150923273716,0.3216999337711003
0.95,15.0,6,"Compact Pade, fourth order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.01140843346039498,0.07397772276297793,0.07027883662482903
0.95,15.0,6,"Staggered Lorenz, second order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,4192.1452635579835,0.0114,0.011449284538104544,0.4323205096889798,0.4107044842045308
0.95,15.0,8,"Non-staggered, second order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.011506757126057253,0.9364660180460717,0.8896427171437681
0.95,15.0,8,"Non-staggered, fourth order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.011413044014814987,0.11442118258759906,0.10870012345821911
0.95,15.0,8,"Compact Pade, fourth order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.011402526283503257,0.022160381607513612,0.021052362527137932
0.95,15.0,8,"Staggered Lorenz, second order",0.00076,0.000249799919935936,3.0424349222966547,25152.871581347903,3144.108947668488,0.0114,0.01142809038603652,0.24640689505719446,0.23408655030433476
