esquema,PPWz,dz_m,theta_rad,omega_analitica_s-1,omega_numerica_teorica_s-1,omega_numerica_medida_s-1,erro_relativo_frequencia,erro_fase_final_rad,previsao_fase_final_rad,erro_previsao_fase_max_rad,erro_L2_final,erro_L2_max,deriva_energia_max_abs,periodos_integrados,dt_s
"Compacto (Pade), 4a ordem",6,666.6666666666666,1.0471975511965976,0.008485281374238571,0.008517620490843262,0.008517620420666972,0.0038111931711047463,1.197321646775265,1.1973242449841097,2.5982088447396023e-06,1.1270733560316162,1.1270733560316162,1.3659189546100237e-07,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",8,500.0,0.7853981633974483,0.008485281374238571,0.00849493755466364,0.008494937485416677,0.0011379836156548973,0.3575080966845121,0.3575106604859907,2.5638014785611674e-06,0.3556072142508636,0.3556072142508636,1.3442395541130026e-07,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",12,333.3333333333333,0.5235987755982988,0.008485281374238571,0.008487111883460725,0.008487111814532088,0.00021571945735043098,0.06777026624456539,0.06777281826039688,2.552015831491783e-06,0.06775729572933376,0.06775729572933376,1.336826940256941e-07,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",16,250.0,0.39269908169872414,0.008485281374238571,0.00848585231229426,0.008485852243416749,6.727757784327568e-05,0.02113587443011511,0.02113842455304108,2.5501229259719538e-06,0.021135480313055614,0.021135480313055614,1.335637099808551e-07,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",24,166.66666666666666,0.2617993877991494,0.008485281374238571,0.008485393005121142,0.008485392936262265,1.3147710579459226e-05,0.004130475096644659,0.004133024529540972,2.549432896312674e-06,0.004130472023098055,0.004130472023098055,1.3352033556568443e-07,50.0,3.7024024484653046
"Compacto (Pade), 4a ordem",32,125.0,0.19634954084936207,0.008485281374238571,0.008485316568947108,0.00848531650009133,4.139621446654358e-06,0.0013005004324213587,0.0013030497505823594,2.549318161000711e-06,0.0013005002991461,0.0013005002991461,1.3351311956011358e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",2,2000.0,3.141592653589793,0.008485281374238571,0.010122763296825224,0.010122763130472176,0.19297907565033984,60.62616463596544,60.62617079502497,6.159059530830291e-06,1.7849875878526356,1.999969916320888,3.8484637931990306e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",4,1000.0,1.5707963267948966,0.008485281374238571,0.008918126937654711,0.008918126849356403,0.05101132844362195,16.02568146883374,16.025684737992595,3.269158856511467e-06,1.9748167249471391,1.9999999042206917,1.7995003598336723e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",6,666.6666666666666,1.0471975511965976,0.008485281374238571,0.008678600980110304,0.008678600903048053,0.022782924959495403,7.157466968003575,7.157469821158486,2.8531549105537124e-06,0.8467017459610259,1.9999851715552692,1.5283101173491076e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",8,500.0,0.7853981633974483,0.008485281374238571,0.00859416918058413,0.008594169107197716,0.01283254239390689,4.031462091157493,4.031464808218108,2.7170606147208787e-06,1.8052774635272808,1.9999977714438497,1.4412445048517242e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",12,333.3333333333333,0.5235987755982988,0.008485281374238571,0.008533716556515386,0.008533716485673607,0.00570813262387334,1.7932627516875073,1.793265374535418,2.6228479106382707e-06,1.5624569436086915,1.5624569436086915,1.3814790911226282e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",16,250.0,0.39269908169872414,0.008485281374238571,0.008512533542500157,0.008512533472533142,0.0032116905842755335,1.0089823545162062,1.0089849449768225,2.5904606162363564e-06,0.9667241051833952,0.9667241051833952,1.3610318616574801e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",24,166.66666666666666,0.2617993877991494,0.008485281374238571,0.008497395704917109,0.00849739563556991,0.0014276793894093063,0.4485187081447748,0.44852127565734506,2.5675125702728785e-06,0.4447686324649878,0.4447686324649878,1.3465749537644456e-07,50.0,3.7024024484653046
"Alternada (Lorenz), 2a ordem",32,125.0,0.19634954084936207,0.008485281374238571,0.00849209611982635,0.0084920960506951,0.0008031173223339669,0.252306747981379,0.2523093074985777,2.559517198741368e-06,0.2516380419382428,0.2516380419382428,1.3415442035036307e-07,50.0,3.7024024484653046
